no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
2,0,0,2,Meal Plan 1,0,Room_Type 1,57,2018,8,10,Online,0,0,0,135.9,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,20,2018,4,9,Online,0,0,0,134,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,0,2018,5,9,Online,0,0,0,103,1,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,121,2018,6,24,Online,0,0,0,90,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,27,2018,10,3,Offline,0,0,0,95,0,Not_Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,50,2018,12,25,Online,0,0,0,111.6,2,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,110,2017,7,25,Online,0,0,0,94.5,0,Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,16,2018,7,16,Online,0,0,0,180.5,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,92,2017,7,5,Online,0,0,0,49.74,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,76,2018,3,20,Online,0,0,0,110.15,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,146,2017,12,29,Offline,0,0,0,65,0,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,9,2018,8,16,Online,0,0,0,142,0,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,12,2018,4,29,Online,0,0,0,122.33,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,57,2018,2,11,Online,0,0,0,80.3,0,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,31,2018,9,16,Online,0,0,0,125.1,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 2,142,2018,8,21,Online,0,0,0,95.79,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,292,2018,7,21,Online,0,0,0,115,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,54,2018,11,11,Online,0,0,0,96,1,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,21,2018,10,26,Online,nan,0,0,110,1,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,2018,7,5,Online,0,0,0,104.72,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,30,2017,9,30,Offline,0,0,0,121,0,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,186,2018,7,19,Online,0,0,0,90.95,1,Canceled
2,0,0,3,Not Selected,0,Room_Type 1,36,2018,12,8,Online,0,0,0,88,0,Canceled
2,0,0,1,Meal Plan 1,1,Room_Type 1,138,2018,5,7,Online,0,0,0,114.3,1,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,162,2018,3,8,Offline,0,0,0,62,1,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,2,2017,10,13,Offline,0,0,0,85,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,100,2018,3,17,Online,0,0,0,73.95,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 4,97,2017,12,29,Offline,0,0,0,60.5,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 1,33,2018,1,25,Corporate,0,0,0,95,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,86,2018,3,23,Online,0,0,0,88.83,1,Canceled
1,0,2,4,Meal Plan 1,0,Room_Type 1,245,2018,7,6,Online,0,0,0,110,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,24,2017,12,26,Offline,0,0,0,58,1,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,89,2018,7,25,Online,0,0,0,137.7,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,66,2017,7,11,Online,0,0,0,58.9,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,2,3,Corporate,1,0,4,66,0,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,41,2017,9,4,Offline,0,0,0,110,0,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 1,45,2018,12,8,Offline,nan,0,0,98.1,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,2017,9,2,Corporate,0,0,0,65,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,11,2018,4,13,Online,0,0,0,143.33,0,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,9,2018,10,21,Complementary,0,0,0,0,0,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 1,161,2018,7,15,Offline,0,0,0,96.9,1,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,2,2017,8,15,Online,0,0,0,72.5,0,Canceled
1,0,1,2,Not Selected,0,Room_Type 1,13,2018,5,30,Online,0,0,0,87.78,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,1,2018,3,8,Online,0,0,0,105,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,38,2018,6,20,Online,0,0,0,88.8,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,166,2017,10,12,Online,0,0,0,89.25,2,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,68,2017,9,29,Offline,0,0,0,65,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,256,2018,6,15,Offline,0,0,0,90,0,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,2018,9,26,Online,0,0,0,107,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,9,27,Corporate,0,0,0,160,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,133,2018,8,15,Online,0,0,0,113.6,0,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,273,2017,7,17,Online,0,0,0,109,0,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,17,2017,8,27,Online,0,0,0,90,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,88,2018,7,26,Offline,nan,0,0,72.25,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,80,2018,4,28,Online,0,0,0,95.24,1,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,16,2018,10,2,Corporate,0,0,0,95,0,Not_Canceled
1,0,0,3,Not Selected,0,Room_Type 1,15,2018,4,12,Online,0,0,0,117.67,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,59,2018,10,19,Online,0,0,0,139.5,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,213,2018,6,7,Online,0,0,0,130,0,Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,161,2018,3,25,Online,1,0,0,130,0,Canceled
2,0,2,5,Not Selected,0,Room_Type 1,17,2018,12,30,Online,1,0,0,90.34,1,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,155,2018,7,17,Online,1,0,0,101.88,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,49,2018,1,24,Online,0,0,0,75.95,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 2,50,2018,3,5,Online,0,0,0,67.66,0,Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,247,2018,6,6,Online,0,0,0,115,1,Canceled
2,1,2,4,Meal Plan 1,0,Room_Type 1,64,2018,4,23,Online,0,0,0,115.03,2,Not_Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,24,2018,12,30,Online,0,0,0,206,0,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,10,2017,8,18,Online,0,0,0,90,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,59,2018,11,18,Offline,0,0,0,75,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,0,0,0,100,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
2,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,1,0,0,107,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,Offline,0,0,0,95.67,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,18,2018,9,15,Online,0,0,0,105.64,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,116,2018,11,17,Online,0,0,0,90,1,Not_Canceled
1,0,1,2,Meal Plan 1,0,Room_Type 1,38,2018,2,22,Online,0,0,0,75.3,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,41,2018,11,11,Online,0,0,0,121.33,1,Canceled
2,1,1,5,Meal Plan 1,1,Room_Type 1,6,2017,8,17,Online,0,0,0,104,2,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,47,2018,9,13,Offline,0,0,0,120,0,Not_Canceled
2,2,1,2,Meal Plan 1,0,Room_Type 6,9,2017,8,21,Online,0,0,0,115.67,3,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,9,5,Online,0,0,0,133,1,Canceled
3,0,0,3,Not Selected,0,Room_Type 1,1,2017,12,31,Online,0,0,0,183.5,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 4,118,2018,5,1,Online,0,0,0,107.95,0,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,0,2017,8,5,Online,0,0,0,80,0,Not_Canceled
1,0,0,4,Not Selected,0,Room_Type 1,12,2018,11,9,Online,1,0,0,120.06,1,Not_Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,89,2017,7,6,Online,0,0,0,68,1,Canceled
1,0,0,1,Not Selected,0,Room_Type 1,38,2018,3,5,Online,0,0,0,67.6,1,Not_Canceled
2,0,0,1,Meal Plan 1,1,Room_Type 4,41,2018,1,16,Online,0,0,0,93.45,1,Not_Canceled
2,0,0,0,Meal Plan 1,0,Room_Type 1,145,2018,7,5,Online,0,0,0,0,1,Not_Canceled
2,0,1,1,Meal Plan 1,1,Room_Type 1,83,2018,3,19,Online,0,0,0,105.3,1,Not_Canceled
2,0,0,4,Not Selected,0,Room_Type 1,1,2018,11,8,Online,0,0,0,159.38,2,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
3,0,2,7,Meal Plan 1,0,Room_Type 4,178,2018,7,27,Online,0,0,0,127.22,1,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,237,2018,10,17,Online,0,0,0,90.95,2,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,163,2018,7,22,Online,0,0,0,94.5,0,Canceled
2,2,0,2,Meal Plan 1,0,Room_Type 6,22,2018,7,21,Online,1,0,0,240,1,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,7,2017,9,21,Online,1,0,0,143.2,2,Not_Canceled
1,0,2,5,Meal Plan 1,0,Room_Type 1,20,2017,11,11,Online,1,0,0,68.85,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,54,2018,12,24,Online,0,0,0,88.4,1,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,89,2017,8,11,Online,0,0,0,76.5,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,2,2017,10,18,Corporate,0,0,0,123,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Online,0,0,0,120,1,Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 1,153,2018,12,29,Online,0,0,0,122.91,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2017,10,30,Offline,0,0,0,95,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,6,2017,12,10,Online,0,0,0,0,0,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,14,2018,5,18,Offline,0,0,0,72,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,36,2018,8,10,Online,0,0,0,135.9,1,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,2017,8,14,Offline,0,0,0,101.5,0,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 5,10,2018,3,7,Corporate,0,0,0,107,0,Not_Canceled
2,1,1,2,Meal Plan 1,0,Room_Type 1,6,2018,7,11,Online,0,0,0,169,2,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,112,2018,12,16,Online,1,0,0,79.2,1,Canceled
2,0,3,7,Not Selected,0,Room_Type 1,18,2018,12,9,Online,1,0,0,75.99,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,66,2018,9,2,Online,1,0,0,87.3,1,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,377,2018,10,14,Offline,0,0,0,90,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,71,2018,4,1,Online,0,0,0,87.3,0,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,16,2018,12,21,Online,0,0,0,105.4,2,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,9,2017,9,10,Offline,0,0,0,63.75,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,103,2018,5,4,Online,0,0,0,95,0,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,146,2018,4,24,Online,0,0,0,95,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,130,2018,8,27,Online,0,0,0,85.5,2,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,0,2017,8,10,Online,0,0,0,115,0,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,4,2018,6,13,Online,0,0,0,99,2,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,88,2018,12,18,Offline,0,0,0,75,0,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,85,2018,7,18,Online,0,0,0,105.3,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,63,2018,11,21,Online,0,0,0,88.4,3,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,85,2018,4,13,Online,0,0,0,90.95,0,Canceled
3,0,1,0,Meal Plan 1,0,Room_Type 4,11,2018,2,14,Online,0,0,0,127,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,3,2018,3,17,Corporate,1,0,1,79,1,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,94,2018,10,31,Online,0,0,0,90.45,0,Canceled
2,0,2,5,Not Selected,0,Room_Type 1,119,2018,6,28,Online,0,0,0,85.61,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 2,130,2018,3,25,Online,0,0,0,102.58,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,30,2018,3,4,Online,0,0,0,88.4,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 5,0,2018,7,14,Corporate,0,0,0,140,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,5,2017,9,19,Online,0,0,0,120.33,2,Not_Canceled
2,0,0,2,Meal Plan 1,1,Room_Type 4,42,2018,9,27,Online,0,0,0,158.4,1,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,2,2018,5,16,Online,0,0,0,89,1,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,5,2018,5,10,Corporate,1,0,2,65,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,290,2018,6,17,Online,1,0,0,72,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,28,2018,4,17,Online,1,0,0,101.8,0,Canceled
2,0,2,3,Not Selected,0,Room_Type 1,116,2018,6,30,Online,0,0,0,75.27,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,216,2018,8,30,Online,0,0,0,96.3,1,Canceled
2,0,0,1,Not Selected,0,Room_Type 1,82,2018,6,23,Online,0,0,0,85.5,0,Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,110,2018,10,9,Online,0,0,0,80,0,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,226,2018,10,29,Online,0,0,0,70,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,12,2018,2,14,Offline,0,0,0,87,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,9,2017,11,11,Corporate,0,0,0,79,1,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,41,2018,3,13,Corporate,0,0,0,85.67,0,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,48,2018,3,6,Offline,0,0,0,40.67,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,71,2017,9,22,Offline,0,0,0,95,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,37,2018,10,13,Offline,0,0,0,105,0,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 4,164,2018,9,17,Online,0,0,0,108.11,1,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,60,2018,3,20,Online,1,0,0,75,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,126,2018,5,2,Online,1,0,0,86.36,0,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,258,2018,9,29,Online,0,0,0,106.2,1,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,151,2018,1,19,Offline,0,0,0,80,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,302,2018,9,16,Online,0,0,0,100,0,Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,12,2018,6,29,Online,0,0,0,156,3,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,254,2018,9,29,Online,0,0,0,100.3,1,Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 4,2,2018,11,17,Online,0,0,0,159,1,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,10,2018,11,15,Online,0,0,0,103,2,Not_Canceled
2,0,1,0,Not Selected,0,Room_Type 1,1,2018,5,8,Online,0,0,0,56.47,0,Not_Canceled
2,2,0,1,Meal Plan 1,0,Room_Type 6,60,2018,12,23,Online,1,0,0,156.6,1,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,193,2018,9,29,Online,0,0,0,93.09,1,Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,131,2018,6,19,Online,0,0,0,80.75,0,Canceled
1,0,1,1,Not Selected,0,Room_Type 1,83,2018,11,19,Online,nan,0,0,79.2,1,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 5,102,2018,5,5,Online,0,0,0,150.45,1,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,3,2017,12,3,Offline,0,0,0,58,0,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,5,2018,3,7,Online,0,0,0,89,1,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,29,2017,9,15,Online,0,0,0,105,1,Not_Canceled
1,0,1,3,Meal Plan 1,0,Room_Type 1,11,2017,10,19,Online,0,0,0,92.4,0,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,126,2018,6,26,Online,0,0,0,90.9,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,164,2017,10,2,Offline,nan,0,0,100,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,33,2018,3,16,Offline,0,0,0,63.58,0,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,74,2017,9,18,Offline,0,0,0,109,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,5,2018,10,14,Online,0,0,0,175,2,Not_Canceled
1,0,2,1,Not Selected,0,Room_Type 1,6,2018,9,25,Online,0,0,0,159,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,191,2018,11,25,Online,0,0,0,71.1,0,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,81,2018,7,3,Online,0,0,0,108.9,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,32,2017,11,20,Offline,0,0,0,73,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,6,2018,8,17,Corporate,0,0,0,79,0,Not_Canceled
2,0,0,3,Not Selected,0,Room_Type 1,54,2018,11,16,Online,0,0,0,57.93,1,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,154,2018,8,24,Online,0,0,0,100.8,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,29,2018,5,18,Online,0,0,0,156,0,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 4,23,2018,4,16,Online,0,0,0,129,1,Not_Canceled
2,0,2,4,Not Selected,0,Room_Type 1,109,2018,7,13,Online,0,0,0,68.72,0,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,80,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,97,2018,3,24,Online,0,0,0,64.98,1,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,102,2017,10,16,Online,0,0,0,101.5,0,Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 4,7,2018,9,22,Online,0,0,0,150.15,1,Canceled
2,1,2,2,Meal Plan 1,0,Room_Type 1,103,2018,5,1,Online,0,0,0,99.45,2,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,33,2018,5,9,Online,0,0,0,97.71,1,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,127,2018,5,6,Online,0,0,0,105.3,0,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,124,2018,8,1,Online,0,0,0,105.3,1,Not_Canceled
2,1,1,3,Meal Plan 1,0,Room_Type 4,85,2018,8,29,Online,0,0,0,143.1,0,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,10,2018,10,2,Online,0,0,0,107,0,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,29,2018,3,4,Online,0,0,0,89.93,0,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,2,2018,8,2,Online,0,0,0,102.7,0,Not_Canceled
1,0,2,1,Meal Plan 2,0,Room_Type 1,122,2018,3,27,Offline,0,0,0,86,0,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,112,2018,6,2,Offline,0,0,0,120,1,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,12,2018,7,7,Online,0,0,0,182.33,2,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,208,2018,7,30,Online,0,0,0,80.75,0,Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 1,40,2018,3,4,Online,0,0,0,126.3,2,Not_Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,43,2018,11,25,Complementary,0,0,0,20,2,Not_Canceled
3,0,2,5,Meal Plan 1,0,Room_Type 1,215,2018,11,6,Online,0,0,0,212.06,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,12,2018,9,18,Online,0,0,0,142.33,1,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,76,2017,9,15,Offline,0,0,0,64.6,0,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,113,2018,6,30,Online,nan,0,0,85,0,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,28,2018,5,21,Online,0,0,0,141,1,Canceled
1,0,0,2,Not Selected,0,Room_Type 1,7,2018,10,19,Online,0,0,0,103.18,1,Not_Canceled
1,0,1,1,Meal Plan 1,1,Room_Type 1,1,2018,8,1,Online,0,0,0,124,1,Not_Canceled
2,0,2,3,Meal Plan 1,1,Room_Type 4,69,2018,6,30,Online,0,0,0,140.4,1,Not_Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Online,0,0,0,115,1,Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,190,2018,6,22,Offline,0,0,0,95,0,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,3,2018,4,18,Offline,0,0,0,70,0,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 2,381,2018,12,23,Online,0,0,0,78.55,1,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,1,2018,1,2,Online,0,0,0,71.84,0,Not_Canceled
1,0,0,2,Meal Plan 1,1,Room_Type 1,0,2018,3,2,Corporate,0,0,0,55,1,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 4,57,2018,10,17,Online,0,0,0,158.4,1,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,230,2018,9,18,Online,0,0,0,119.85,1,Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,12,2018,2,6,Online,0,0,0,109,0,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,64,2018,4,23,Online,0,0,0,118.8,1,Canceled
2,0,2,2,Meal Plan 2,0,Room_Type 1,37,2018,6,26,Online,0,0,0,143.1,2,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,11,2018,12,6,Online,0,0,0,88,0,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,30,2018,3,5,Online,0,0,0,76.1,2,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,2018,6,8,Offline,0,0,0,120,0,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,91,2018,8,21,Online,0,0,0,126.9,0,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,64,2018,11,9,Online,0,0,0,138.24,0,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,231,2018,12,30,Online,0,0,0,63.75,1,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,103,2018,7,11,Online,0,0,0,107.55,0,Not_Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,237,2018,10,13,Online,0,0,0,147.3,0,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,192,2018,6,24,Offline,0,0,0,95,0,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 5,12,2018,9,28,Online,0,0,0,160.2,1,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,109,2018,3,27,Online,0,0,0,81.25,0,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,40,2018,3,20,Online,0,0,0,88.2,1,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,17,2018,6,12,Online,0,0,0,85.47,1,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,53,2018,9,1,Online,0,0,0,89.1,2,Not_Canceled
